	voice Midi Diff								present		 Best		Sec

printNotes: i= 148-<2008 1989  19>,  	 D2 --   1/16th( 31) <      > 	V 37 - M 47	=-10  %-27  	q= +6  %+16  	 0.209(83)<-----%27   %16

printNotes: i= 149-<2099 2126 -27>,  	Ek2 -- 1/64th..( 14) <      > 	V 15 - M 16	= -1  %-7  	q= +1  %+7  	 0.081(83)
printNotes: i= 150-<1981 1989  -8>,  	 D2 --  1/16th.( 47) <      > 	V 40 - M 47	= -7  %-18  	q= -7  %-18  	 0.226(83)
printNotes: i= 151-<2130 2126   4>,  	Ek2 --  1/16th.( 47) <      > 	V 48 - M 63	=-15  %-31  	q= +1  %+2  	 0.273(83)<-----%31   %2

printNotes: i= 152-<2263 2262   1>,  	 F2 --  1/16th.( 47) <      > 	V 44 - M 63	=-19  %-43  	q= -3  %-7  	 0.250(83)<-----%43   %7

printNotes: i= 153-<2118 2126  -8>,  	Ek2 --    1/8th( 63) <      > 	V 63 - M 94	=-31  %-49  	q=  +  %+0  	 0.360(83)<-----%49   %0

printNotes: i= 154-<1643 1989 -346>,  	 D2 --    1/8th( 63) <      > 	V 67 - M 63	= +4  %+6  	q= +4  %+6  	 0.383(83)


silence
printNotes: i= 155-<   0   40 -40>,  	Slc --    whole(500) <3*sela> 	V549 - M500	=+49  %+9  	q=+49  %+9  	 3.181(83)
printNotes: i= 156-<2039 1989  50>,  	 D2 -- 1/16th..( 55) <      > 	V 52 - M 47	= +5  %+10  	q= -3  %-6  	 0.296(83)<-----%10   %6

printNotes: i= 157-<2477 2484  -7>,  	 G2 --  1/16th.( 47) <      > 	V 42 - M 63	=-21  %-50  	q= -5  %-12  	 0.238(83)<-----%50   %12

printNotes: i= 158-<2268 2262   6>,  	 F2 --  1/64th.( 12) <      > 	V 13 - M 31	=-18  %-138  	q= +1  %+8  	 0.070(83)<-----%138   %8 <<

printNotes: i= 159-<2137 2262 -125>,  	 F2 --   1/4th.(188) <      > 	V188 - M188	=  +  %+0  	q=  +  %+0  	 1.086(83)<-- same note
printNotes: i= 160-<2258 2484 -226>,  	 G2 --   1/8th.( 94) <      > 	V 89 - M 63	=+26  %+29  	q= -5  %-6  	 0.511(83)<-----%29   %6

printNotes: i= 161-<2544 2662 -118>,  	 A2 -- 1/64th..( 14) <      > 	V 14 - M 31	=-17  %-121  	q=  +  %+0  	 0.075(83)<-----%121   %0 <<

printNotes: i= 162-<2469 2484 -15>,  	 G2 -- 1/32nd..( 27) <      > 	V 26 - M 31	= -5  %-19  	q= -1  %-4  	 0.145(83)<-----%19   %4

printNotes: i= 163-<2654 2662  -8>,  	 A2 -- 1/64th..( 14) <      > 	V 15 - M 31	=-16  %-107  	q= +1  %+7  	 0.081(83)<-----%107   %7 <<

printNotes: i= 164-<2473 2484 -11>,  	 G2 --  1/16th.( 47) <      > 	V 44 - M 31	=+13  %+30  	q= -3  %-7  	 0.250(83)<-----%30   %7

