	voice Midi Diff								present		 Best		Sec

printNotes: i= 160-<2130 2262 -132>,  	 F2 --    1/4th(140) <      > 	V150 - M140	=+10  %+7  	q=+10  %+7  	 0.865(74)


silence
printNotes: i= 161-<   0   40 -40>,  	Slc --  1/4th..(246) <      > 	V232 - M260	=-28  %-12  	q=-14  %-6  	 1.341(74)<-----%12   %6

printNotes: i= 162-< 852 1789 -937>,  	 C2 -- 1/32nd..( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(74)
printNotes: i= 163-<2169 2262 -93>,  	 F2 --   1/8th.(105) <      > 	V105 - M105	=  +  %+0  	q=  +  %+0  	 0.604(74)
printNotes: i= 164-<2262 2262    >,  	 F2 --   1/4th.(211) <      > 	V203 - M211	= -8  %-4  	q= -8  %-4  	 1.173(74)<-- same note
printNotes: i= 165-<2125 2126  -1>,  	Ek2 --   1/16th( 35) <      > 	V 36 - M 35	= +1  %+3  	q= +1  %+3  	 0.203(74)
printNotes: i= 166-<1913 1989 -76>,  	 D2 -- 1/32nd..( 31) <      > 	V 29 - M 31	= -2  %-7  	q= -2  %-7  	 0.163(74)
printNotes: i= 167-<1711 2262 -551>,  	 F2 -- 1/32nd..( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(74)
printNotes: i= 168-<1937 2126 -189>,  	Ek2 --   1/16th( 35) <      > 	V 38 - M 35	= +3  %+8  	q= +3  %+8  	 0.215(74)
printNotes: i= 169-<2451 2484 -33>,  	 G2 --  1/64th.( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(74)
printNotes: i= 170-<2277 2262  15>,  	 F2 --   1/32nd( 18) <      > 	V 17 - M 18	= -1  %-6  	q= -1  %-6  	 0.093(74)
printNotes: i= 171-<2473 2484 -11>,  	 G2 --   1/32nd( 18) <      > 	V 20 - M 18	= +2  %+10  	q= +2  %+10  	 0.110(74)
