	voice Midi Diff								present		 Best		Sec

printNotes: i= 116-<2691 2729 -38>,  	Bb2 --    1/4th(125) <      > 	V122 - M125	= -3  %-2  	q= -3  %-2  	 0.702(83)
printNotes: i= 117-<2971 2946  25>,  	 C3 --   1/16th( 31) <      > 	V 36 - M 31	= +5  %+14  	q= +5  %+14  	 0.203(83)
printNotes: i= 118-< 894 2729 -1835>,  	Bb2 --    1/8th( 62) <      > 	V 67 - M 62	= +5  %+7  	q= +5  %+7  	 0.383(83)
printNotes: i= 119-<2666 2659   7>,  	 A2 --    1/8th( 62) <      > 	V 73 - M 62	=+11  %+15  	q=+11  %+15  	 0.418(83)
printNotes: i= 120-<2738 2729   9>,  	Bb2 -- 1/32nd..( 27) <      > 	V 26 - M 27	= -1  %-4  	q= -1  %-4  	 0.145(83)
printNotes: i= 121-<2667 2659   8>,  	 A2 --  1/16th.( 47) <      > 	V 39 - M 47	= -8  %-21  	q= -8  %-21  	 0.221(83)
printNotes: i= 122-<2714 2729 -15>,  	Bb2 --   1/16th( 31) <      > 	V 35 - M 31	= +4  %+11  	q= +4  %+11  	 0.197(83)


silence
printNotes: i= 123-< 157   40 117>,  	Slc --   1/32nd( 16) <      > 	V 17 - M 16	= +1  %+6  	q= +1  %+6  	 0.093(83)
printNotes: i= 124-<2456 2476 -20>,  	 G2 --   1/8th.( 94) <      > 	V 85 - M 94	= -9  %-11  	q= -9  %-11  	 0.488(83)
printNotes: i= 125-<2654 2659  -5>,  	 A2 --  1/8th..(109) <      > 	V102 - M109	= -7  %-7  	q= -7  %-7  	 0.586(83)
printNotes: i= 126-<3053 2476 577>,  	 G2 --    1/4th(125) <      > 	V121 - M125	= -4  %-3  	q= -4  %-3  	 0.697(83)


silence
printNotes: i= 127-<   0   40 -40>,  	Slc --   1/32nd( 16) <      > 	V 19 - M136	=-117  %-616  	q= +3  %+16  	 0.104(83)<-----%616   %16

printNotes: i= 128-<2239 2265 -26>,  	 F2 --  1/16th.( 47) <      > 	V 48 - M 47	= +1  %+2  	q= +1  %+2  	 0.273(83)
printNotes: i= 129-<2643 2659 -16>,  	 A2 --   1/8th.( 94) <      > 	V 87 - M 94	= -7  %-8  	q= -7  %-8  	 0.499(83)
