	voice Midi Diff								present		 Best		Sec

printNotes: i= 91-<2742 2745  -3>,  	Bb2 --   1/16th( 30) <      > 	V 35 - M 30	= +5  %+14  	q= +5  %+14  	 0.197(86)
printNotes: i= 92-<2685 2680   5>,  	 A2 --  1/16th.( 45) <      > 	V 38 - M 45	= -7  %-18  	q= -7  %-18  	 0.215(86)
printNotes: i= 93-<2734 2745 -11>,  	Bb2 -- 1/32nd..( 26) <      > 	V 27 - M 26	= +1  %+4  	q= +1  %+4  	 0.151(86)
printNotes: i= 94-<2678 2680  -2>,  	 A2 --   1/16th( 30) <      > 	V 37 - M 45	= -8  %-22  	q= +7  %+19  	 0.209(86)
printNotes: i= 95-<2742 2745  -3>,  	Bb2 -- 1/64th..( 13) <      > 	V 14 - M 13	= +1  %+7  	q= +1  %+7  	 0.075(86)
printNotes: i= 96-<2304 2474 -170>,  	 G2 --  1/4th..(211) <      > 	V209 - M211	= -2  %-1  	q= -2  %-1  	 1.207(86)


silence
printNotes: i= 97-<   0   40 -40>,  	Slc --    whole(482) <4*sela> 	V556 - M488	=+68  %+12  	q=+74  %+13  	 3.222(86)
printNotes: i= 98-<1270 1277  -7>,  	 G1 --   1/32nd( 15) <      > 	V 18 - M 15	= +3  %+17  	q= +3  %+17  	 0.099(86)
printNotes: i= 99-<1748 1763 -15>,  	 C2 --   1/32nd( 15) <      > 	V 15 - M 13	= +2  %+13  	q=  +  %+0  	 0.081(86)
printNotes: i= 100-< 813 1763 -950>,  	 C2 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(86)<-- same note
printNotes: i= 101-< 732 1574 -842>,  	Bb1 --  1/32nd.( 23) <      > 	V 20 - M 23	= -3  %-15  	q= -3  %-15  	 0.110(86)
printNotes: i= 102-<1741 1763 -22>,  	 C2 --    1/8th( 60) <      > 	V 68 - M 60	= +8  %+12  	q= +8  %+12  	 0.389(86)
printNotes: i= 103-<1616 1574  42>,  	Bb1 --  1/64th.( 11) <      > 	V  9 - M 11	= -2  %-22  	q= -2  %-22  	 0.046(86)
printNotes: i= 104-<1699 1763 -64>,  	 C2 --     half(241) <3*sela> 	V300 - M241	=+59  %+20  	q=+59  %+20  	 1.736(86)
printNotes: i= 105-< 515 1277 -762>,  	 G1 --    1/8th( 60) <      > 	V 57 - M 60	= -3  %-5  	q= -3  %-5  	 0.325(86)
printNotes: i= 106-<1759 1763  -4>,  	 C2 --  1/8th..(105) <      > 	V109 - M105	= +4  %+4  	q= +4  %+4  	 0.627(86)
printNotes: i= 107-<1268 1763 -495>,  	 C2 --  1/8th..(105) <      > 	V105 - M105	=  +  %+0  	q=  +  %+0  	 0.604(86)<-- same note
printNotes: i= 108-< 582 1636 -1054>,  	Bk1 -- 1/64th..( 13) <      > 	V 14 - M 13	= +1  %+7  	q= +1  %+7  	 0.075(86)
