	voice Midi Diff								present		 Best		Sec

printNotes: i= 116-<2462 2478 -16>,  	 G2 --    1/8th( 64) <      > 	V 67 - M 64	= +3  %+4  	q= +3  %+4  	 0.383(81)
printNotes: i= 117-<2173 2140  33>,  	Ek2 --   1/32nd( 16) <      > 	V 16 - M 14	= +2  %+12  	q=  +  %+0  	 0.087(81)
printNotes: i= 118-<2423 2478 -55>,  	 G2 --  1/64th.( 12) <      > 	V  9 - M  8	= +1  %+11  	q= -3  %-33  	 0.046(81)
printNotes: i= 119-<2268 2267   1>,  	 F2 --    1/4th(128) <      > 	V138 - M128	=+10  %+7  	q=+10  %+7  	 0.795(81)
printNotes: i= 120-<2416 2478 -62>,  	 G2 --    128th(  4) <      > 	V  5 - M  4	= +1  %+20  	q= +1  %+20  	 0.023(81)


silence
printNotes: i= 121-<   0   40 -40>,  	Slc --  1/4th..(225) <      > 	V237 - M231	= +6  %+3  	q=+12  %+5  	 1.370(81)
printNotes: i= 122-<1699 1290 409>,  	 G1 --  1/32nd.( 24) <      > 	V 23 - M 24	= -1  %-4  	q= -1  %-4  	 0.128(81)
printNotes: i= 123-<2647 2737 -90>,  	Bb2 --   1/8th.( 96) <      > 	V 86 - M 96	=-10  %-12  	q=-10  %-12  	 0.493(81)
printNotes: i= 124-<2673 2672   1>,  	 A2 --   1/64th(  8) <      > 	V 10 - M  8	= +2  %+20  	q= +2  %+20  	 0.052(81)
printNotes: i= 125-<2444 2737 -293>,  	Bb2 --   1/32nd( 16) <      > 	V 16 - M 14	= +2  %+12  	q=  +  %+0  	 0.087(81)
printNotes: i= 126-<2479 2478   1>,  	 G2 -- 1/64th..( 14) <      > 	V 15 - M 16	= -1  %-7  	q= +1  %+7  	 0.081(81)
printNotes: i= 127-<2117 2737 -620>,  	Bb2 --  1/64th.( 12) <      > 	V  9 - M  8	= +1  %+11  	q= -3  %-33  	 0.046(81)
printNotes: i= 128-<2115 2267 -152>,  	 F2 -- 1/64th..( 14) <      > 	V 14 - M 14	=  +  %+0  	q=  +  %+0  	 0.075(81)
printNotes: i= 129-<2577 2672 -95>,  	 A2 --    128th(  4) <      > 	V  5 - M  4	= +1  %+20  	q= +1  %+20  	 0.023(81)
printNotes: i= 130-<2491 2478  13>,  	 G2 --   1/16th( 32) <      > 	V 34 - M 32	= +2  %+6  	q= +2  %+6  	 0.192(81)
printNotes: i= 131-<2718 2737 -19>,  	Bb2 --  1/64th.( 12) <      > 	V 11 - M 12	= -1  %-9  	q= -1  %-9  	 0.058(81)
printNotes: i= 132-<2663 2672  -9>,  	 A2 --    1/4th(128) <      > 	V125 - M128	= -3  %-2  	q= -3  %-2  	 0.720(81)
printNotes: i= 133-<2490 2478  12>,  	 G2 -- 1/32nd..( 28) <      > 	V 29 - M 28	= +1  %+3  	q= +1  %+3  	 0.163(81)
printNotes: i= 134-<2220 2167  53>,  	 E2 --  1/64th.( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(81)
printNotes: i= 135-<2265 2267  -2>,  	 F2 --  1/64th.( 12) <      > 	V 11 - M 12	= -1  %-9  	q= -1  %-9  	 0.058(81)
printNotes: i= 136-<2171 2140  31>,  	Ek2 --   1/32nd( 16) <      > 	V 18 - M 16	= +2  %+11  	q= +2  %+11  	 0.099(81)
printNotes: i= 137-<2416 2478 -62>,  	 G2 --    128th(  4) <      > 	V  4 - M  4	=  +  %+0  	q=  +  %+0  	 0.017(81)
printNotes: i= 138-<2275 2267   8>,  	 F2 --   1/4th.(193) <-1*sela> 	V167 - M193	=-26  %-16  	q=-26  %-16  	 0.964(81)
printNotes: i= 139-<2299 2958 -659>,  	 C3 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(81)
printNotes: i= 140-<2001 2267 -266>,  	 F2 -- 1/32nd..( 28) <      > 	V 29 - M 28	= +1  %+3  	q= +1  %+3  	 0.163(81)


silence
printNotes: i= 141-<   0   40 -40>,  	Slc --  1/8th..(112) <      > 	V112 - M112	=  +  %+0  	q=  +  %+0  	 0.644(81)
printNotes: i= 142-<2065 2267 -202>,  	 F2 --  1/16th.( 48) <      > 	V 48 - M 48	=  +  %+0  	q=  +  %+0  	 0.273(81)
printNotes: i= 143-<2480 2478   2>,  	 G2 -- 1/32nd..( 28) <      > 	V 26 - M 28	= -2  %-8  	q= -2  %-8  	 0.145(81)
printNotes: i= 144-<2638 2672 -34>,  	 A2 --  1/32nd.( 24) <      > 	V 25 - M 24	= +1  %+4  	q= +1  %+4  	 0.139(81)
printNotes: i= 145-<2732 2737  -5>,  	Bb2 --   1/8th.( 96) <      > 	V 82 - M 96	=-14  %-17  	q=-14  %-17  	 0.470(81)
printNotes: i= 146-<2659 2672 -13>,  	 A2 --   1/16th( 32) <      > 	V 31 - M 32	= -1  %-3  	q= -1  %-3  	 0.174(81)
printNotes: i= 147-<2713 2737 -24>,  	Bb2 -- 1/64th..( 14) <      > 	V 14 - M 14	=  +  %+0  	q=  +  %+0  	 0.075(81)
printNotes: i= 148-<2486 2478   8>,  	 G2 -- 1/32nd..( 28) <      > 	V 27 - M 28	= -1  %-4  	q= -1  %-4  	 0.151(81)
printNotes: i= 149-<2296 2267  29>,  	 F2 --   1/32nd( 16) <      > 	V 19 - M 16	= +3  %+16  	q= +3  %+16  	 0.104(81)
printNotes: i= 150-<2163 2478 -315>,  	 G2 --   1/16th( 32) <      > 	V 31 - M 32	= -1  %-3  	q= -1  %-3  	 0.174(81)
printNotes: i= 151-<2666 2672  -6>,  	 A2 --   1/4th.(193) <-1*sela> 	V164 - M193	=-29  %-18  	q=-29  %-18  	 0.946(81)
printNotes: i= 152-<2468 2478 -10>,  	 G2 --   1/16th( 32) <      > 	V 30 - M 32	= -2  %-7  	q= -2  %-7  	 0.168(81)
printNotes: i= 153-<1863 2672 -809>,  	 A2 --   1/64th(  8) <      > 	V 10 - M 12	= -2  %-20  	q= +2  %+20  	 0.052(81)
printNotes: i= 154-<2090 2167 -77>,  	 E2 --   1/32nd( 16) <      > 	V 18 - M 16	= +2  %+11  	q= +2  %+11  	 0.099(81)
printNotes: i= 155-<2397 2478 -81>,  	 G2 --   128th.(  6) <      > 	V  6 - M  6	=  +  %+0  	q=  +  %+0  	 0.029(81)
printNotes: i= 156-<2173 2140  33>,  	Ek2 --  1/32nd.( 24) <      > 	V 20 - M 24	= -4  %-20  	q= -4  %-20  	 0.110(81)
printNotes: i= 157-<2396 2478 -82>,  	 G2 --    128th(  4) <      > 	V  4 - M  4	=  +  %+0  	q=  +  %+0  	 0.017(81)
printNotes: i= 158-<2272 2267   5>,  	 F2 --    1/4th(128) <      > 	V137 - M128	= +9  %+7  	q= +9  %+7  	 0.789(81)
printNotes: i= 159-<2489 2478  11>,  	 G2 --  1/64th.( 12) <      > 	V 11 - M 12	= -1  %-9  	q= -1  %-9  	 0.058(81)


silence
printNotes: i= 160-< 144   40 104>,  	Slc --    1/4th(128) <1*sela> 	V146 - M128	=+18  %+12  	q=+18  %+12  	 0.842(81)
printNotes: i= 161-<2017 2267 -250>,  	 F2 -- 1/16th..( 56) <      > 	V 55 - M 56	= -1  %-2  	q= -1  %-2  	 0.313(81)
printNotes: i= 162-<2495 2478  17>,  	 G2 -- 1/32nd..( 28) <      > 	V 26 - M 28	= -2  %-8  	q= -2  %-8  	 0.145(81)
printNotes: i= 163-<2636 2672 -36>,  	 A2 --  1/32nd.( 24) <      > 	V 25 - M 24	= +1  %+4  	q= +1  %+4  	 0.139(81)
printNotes: i= 164-<2743 2737   6>,  	Bb2 --   1/32nd( 16) <      > 	V 16 - M 14	= +2  %+12  	q=  +  %+0  	 0.087(81)
printNotes: i= 165-<2689 2672  17>,  	 A2 -- 1/64th..( 14) <      > 	V 14 - M 16	= -2  %-14  	q=  +  %+0  	 0.075(81)
printNotes: i= 166-<2959 2958   1>,  	 C3 --    1/4th(128) <      > 	V141 - M128	=+13  %+9  	q=+13  %+9  	 0.813(81)
printNotes: i= 167-<2749 2737  12>,  	Bb2 --  1/32nd.( 24) <      > 	V 22 - M 24	= -2  %-9  	q= -2  %-9  	 0.122(81)
printNotes: i= 168-<2635 2672 -37>,  	 A2 --   1/32nd( 16) <      > 	V 18 - M 16	= +2  %+11  	q= +2  %+11  	 0.099(81)
printNotes: i= 169-<2719 2737 -18>,  	Bb2 --  128th..(  7) <      > 	V  7 - M  6	= +1  %+14  	q=  +  %+0  	 0.035(81)
printNotes: i= 170-<2295 2478 -183>,  	 G2 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(81)
printNotes: i= 171-<2562 2737 -175>,  	Bb2 -- 1/64th..( 14) <      > 	V 14 - M 12	= +2  %+14  	q=  +  %+0  	 0.075(81)
printNotes: i= 172-<2672 2672    >,  	 A2 --  1/32nd.( 24) <      > 	V 20 - M 24	= -4  %-20  	q= -4  %-20  	 0.110(81)
printNotes: i= 173-<2745 2737   8>,  	Bb2 --   1/8th.( 96) <      > 	V 83 - M 96	=-13  %-16  	q=-13  %-16  	 0.476(81)
printNotes: i= 174-<2083 2672 -589>,  	 A2 --   1/16th( 32) <      > 	V 32 - M 32	=  +  %+0  	q=  +  %+0  	 0.180(81)
printNotes: i= 175-<2299 2478 -179>,  	 G2 -- 1/32nd..( 28) <      > 	V 27 - M 28	= -1  %-4  	q= -1  %-4  	 0.151(81)
printNotes: i= 176-<2284 2267  17>,  	 F2 --   1/32nd( 16) <      > 	V 17 - M 16	= +1  %+6  	q= +1  %+6  	 0.093(81)
